UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E013,F3E013,XF3E014,F3E014,XF3E015,F3E015,XF3E016,F3E016,XF3E017,F3E017,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02A3,F3E02A3,XF3E02A4,F3E02A4,XF3E02A5,F3E02A5,XF3E02A6,F3E02A6,XF3E02A7,F3E02A7,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E02B3,F3E02B3,XF3E02B4,F3E02B4,XF3E02B5,F3E02B5,XF3E02B6,F3E02B6,XF3E02B7,F3E02B7,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03A3,F3E03A3,XF3E03A4,F3E03A4,XF3E03A5,F3E03A5,XF3E03A6,F3E03A6,XF3E03A7,F3E03A7,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03B3,F3E03B3,XF3E03B4,F3E03B4,XF3E03B5,F3E03B5,XF3E03B6,F3E03B6,XF3E03B7,F3E03B7,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E03C3,F3E03C3,XF3E03C4,F3E03C4,XF3E03C5,F3E03C5,XF3E03C6,F3E03C6,XF3E03C7,F3E03C7,XF3E041,F3E041,XF3E042,F3E042,XF3E043,F3E043,XF3E044,F3E044,XF3E045,F3E045,XF3E046,F3E046,XF3E047,F3E047,XF3E051,F3E051,XF3E057,F3E057,XF3E101,F3E101,XF3E102,F3E102,XF3E103,F3E103,XF3E104,F3E104,XF3E105,F3E105,XF3E106,F3E106,XF3E107,F3E107,XF3E111,F3E111,XF3E112,F3E112,XF3E113,F3E113,XF3E114,F3E114,XF3E115,F3E115,XF3E116,F3E116,XF3E117,F3E117,XF3E061,F3E061,XF3E062,F3E062,XF3E063,F3E063,XF3E064,F3E064,XF3E065,F3E065,XF3E066,F3E066,XF3E067,F3E067,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
101116,"R",8944840,"R",0,"R",1962514,"R",73924,"R",4790543,"R",0,"R",4154297,"R",8944840,"R",0,"R",2255303,"R",2709232,"R",0,"R",9244,"R",4973779,"R",3011265,"R",1962514,"R",12504397,"R",12212364,"R",-881161,"R",-589128,"R",-689432,"R",5432857,"R",0,"R",4154297,"R",2080502,"R",1726570,"R",75301,"R",75301,"R",0,"R",1015766,"R",4898139,"R",4898139,"R",0,"R",8083791,"R",3807072,"R",0,"R",3807072,"R",75301,"R",0,"R",75301,"R",0,"R",0,"R",0,"R",0,"R",0,"R",538233,"R",0,"R",0,"R",12504397,"R",3599601,"R",2200596,"R",303950,"R",447102,"R",151329,"R",0,"R",496624,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",644574,"R",405637,"R",70023,"R",80062,"R",27098,"R",0,"R",61754,"R",2681024,"R",999978,"R",185664,"R",201776,"R",68294,"R",0,"R",1225312,"R",4820037,"R",400830,"R",338437,"R",599291,"R",202839,"R",0,"R",3278640,"R",467128,"R",0,"R",0,"R",58021,"R",19638,"R",0,"R",389469,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",65915,"R",11790,"R",-1386252,"R",63391,"R",0,"R",1245156,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12212364,"R",4072956,"R",909864,"R",532589,"R",0,"R",6696955,"R",876427,"R",4734, 1
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",453246,"R",0,"R",0,"R",0,"R",0,"R",0,"R",453246,"R",0,"R",0,"R",766686,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",586,"R",93319,"A",,"A",,"R",0,"R",860591,"R",188271,"R",186318,"R",1953,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38767,"R",36814,"R",1953,"R",0,"R",0,"R",0,"R",0,"R",255221,"R",253267,"R",1954,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",482259,"R",476399,"R",5860,"R",0,"R",0,"R",0,"A",,"A",,-2
101365,"R",10464045,"Z",0,"R",1265938,"R",31818,"R",246230,"Z",0,"R",10217815,"R",10464045,"R",1135445,"R",322000,"R",1766532,"R",0,"Z",0,"R",3223977,"R",1958039,"R",1265938,"R",4097170,"R",4134845,"R",-119349,"R",-157024,"Z",0,"R",10374837,"R",2,"R",10217815,"R",1097461,"R",36700,"R",11699,"R",11699,"Z",0,"R",335006,"R",1480866,"R",335006,"R",0,"R",4056465,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",40705,"R",4097170,"R",2064917,"R",1229087,"R",368726,"R",147593,"R",106020,"Z",0,"R",213491,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",297485,"R",227598,"R",68279,"Z",0,"Z",0,"Z",0,"R",1608,"R",1176306,"R",494279,"R",130459,"Z",0,"Z",0,"Z",0,"R",551568,"R",596137,"R",143155,"R",42947,"Z",0,"Z",0,"Z",0,"R",410035,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",27283,"R",8185,"R",-147593,"Z",0,"Z",0,"R",112125,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",4134845,"R",2121402,"R",618596,"R",106020,"Z",0,"R",1288827,"A",,"A",,-2
101958,"R",5903018,"R",0,"R",4107,"R",0,"R",136273,"R",0,"R",5766745,"R",5903018,"R",0,"R",0,"R",160673,"R",0,"R",0,"R",160673,"R",156566,"R",4107,"R",3124371,"R",3507120,"R",0,"R",-382749,"R",0,"R",6123382,"R",26112,"R",5766745,"R",440699,"R",0,"R",0,"R",0,"R",0,"R",0,"R",440699,"R",0,"R",0,"R",1545955,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",1545955,"R",588063,"R",395520,"R",63008,"R",129535,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",151799,"R",0,"R",0,"R",0,"R",0,"R",0,"R",151799,"R",34195,"R",0,"R",0,"R",0,"R",0,"R",0,"R",34195,"R",522364,"R",417690,"R",50489,"R",54184,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-290362,"R",0,"R",0,"R",290362,"R",106643,"R",0,"R",0,"R",106643,"R",0,"R",0,"R",0,"R",1403064,"R",813210,"R",113497,"R",0,"R",0,"R",476357,"A",,"A",,-2
102845,"R",34581821,"R",0,"R",5470082,"R",6946381,"R",3847916,"R",17040,"R",30733905,"R",34581821,"R",0,"R",6343809,"R",6756081,"R",166965,"Z",0,"R",13266855,"R",7796773,"R",5470082,"R",52202708,"R",51210926,"R",-31349,"R",960433,"R",0,"R",29773472,"R",0,"R",30733905,"R",12576574,"R",4475894,"R",930936,"R",924861,"R",6075,"R",2441565,"R",20424969,"R",2441565,"R",0,"R",52045800,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",72299,"R",84609,"R",0,"R",0,"R",0,"R",52202708,"R",15560534,"R",6437874,"R",1023415,"R",3956375,"R",644821,"R",0,"R",3498049,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2306545,"R",1533404,"R",302170,"R",282598,"R",46059,"R",0,"R",142314,"R",16663830,"R",6439828,"R",1269022,"R",847795,"R",138176,"R",0,"R",7969009,"R",12436834,"R",856880,"R",168855,"R",565197,"R",92117,"R",10156,"R",10743629,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",167178,"R",32944,"R",-5651965,"R",1112659,"R",0,"R",4339184,"R",4243183,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4243183,"R",51210926,"R",15435164,"R",2796406,"R",2033832,"R",10156,"R",30935368,"R",0,"R",31349, 3
103501,"R",5664024,"R",2077308,"R",3134996,"Z",0,"R",1998556,"R",1629107,"R",3665468,"R",5664024,"R",450000,"R",2775507,"R",476582,"R",0,"R",899308,"R",4601397,"R",1466401,"R",3134996,"R",5802243,"R",5504191,"R",0,"R",298052,"R",0,"R",3459051,"R",-91635,"R",3665468,"R",1698683,"R",511962,"R",263908,"R",263908,"Z",0,"R",65233,"R",2539786,"Z",0,"Z",0,"R",5666845,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",70059,"R",65339,"R",0,"A",,"R",0,"R",5802243,"R",1988696,"R",1086026,"R",28452,"Z",0,"Z",0,"Z",0,"R",874218,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2369541,"R",1321122,"R",34698,"Z",0,"Z",0,"Z",0,"R",1013721,"R",624570,"R",220558,"R",5552,"Z",0,"Z",0,"Z",0,"R",398460,"R",521384,"R",37589,"R",694,"Z",0,"Z",0,"Z",0,"R",483101,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",5504191,"R",2665295,"R",69396,"Z",0,"Z",0,"R",2769500,"A",,"A",,-2
103644,"R",12787964,"Z",0,"R",446729,"Z",0,"R",2283430,"Z",0,"R",10504534,"R",12787964,"Z",0,"Z",0,"R",1021233,"Z",0,"R",5376116,"R",6397349,"R",5950620,"R",446729,"R",45639516,"R",43069480,"R",-1,"R",2570035,"Z",0,"R",7239698,"R",694801,"R",10504534,"R",14021784,"R",102921,"R",3432,"R",3432,"Z",0,"Z",0,"R",14128137,"Z",0,"Z",0,"R",45639516,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",45639516,"R",27061053,"R",4886047,"R",1110991,"R",636292,"R",926315,"Z",0,"R",19501408,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2728574,"R",2209408,"R",519166,"Z",0,"Z",0,"Z",0,"R",0,"R",230872,"R",189239,"R",41633,"Z",0,"Z",0,"Z",0,"R",0,"R",13048981,"R",826762,"R",181888,"Z",0,"Z",0,"Z",0,"R",12040331,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-636292,"Z",0,"Z",0,"R",636292,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",43069480,"R",8111456,"R",1853678,"R",926315,"Z",0,"R",32178031,"Z",0,"Z",0, 1
103723,"R",2141675,"Z",0,"R",2235719,"Z",0,"R",3742935,"Z",0,"R",-1601260,"R",2141675,"Z",0,"R",6508741,"R",5360337,"Z",0,"R",31162,"R",11900240,"R",9664521,"R",2235719,"R",6879849,"R",9567405,"R",-503429,"R",-3190985,"Z",0,"R",1589725,"R",0,"R",-1601260,"R",1300395,"R",154025,"R",45150,"R",45150,"Z",0,"R",26783,"R",1526353,"R",225958,"Z",0,"R",6843887,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",23889,"Z",0,"R",12073,"R",6879849,"R",3070549,"R",1605948,"R",89430,"R",1192448,"R",133449,"Z",0,"R",49274,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1132749,"R",456873,"R",50200,"R",542022,"R",4719,"Z",0,"R",78935,"R",825872,"R",696158,"R",72411,"Z",0,"R",22454,"Z",0,"R",34849,"R",4041593,"R",368769,"R",68392,"R",433617,"R",1009035,"R",8362,"R",2153418,"R",433366,"R",34096,"R",947,"Z",0,"Z",0,"Z",0,"R",398323,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-2168087,"Z",0,"Z",0,"R",2168087,"R",63276,"R",1,"R",0,"R",0,"R",0,"R",0,"R",63275,"R",9567405,"R",3161845,"R",281380,"R",1169657,"R",8362,"R",4946161,"R",589423,"R",-85993, 2
103732,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",139606,"R",600,"R",3500,"R",3500,"R",0,"R",200,"R",143906,"R",0,"R",0,"R",384586,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",113709,"A",,"A",,"R",35206,"R",533501,"R",653952,"R",217751,"R",48421,"R",274996,"R",555,"R",0,"R",112229,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",46321,"R",37895,"R",8426,"R",0,"R",0,"R",0,"R",0,"R",108605,"R",41521,"R",9233,"R",0,"R",0,"R",0,"R",57851,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-274996,"R",0,"R",0,"R",274996,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",808878,"R",297167,"R",66080,"R",555,"R",0,"R",445076,"A",,"A",,-2
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",729138,"R",9750,"R",108544,"R",108544,"R",0,"R",6450,"R",853882,"R",0,"R",0,"R",1597723,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",126370,"A",,"A",,"R",179987,"R",1904080,"R",1216137,"R",398252,"R",88700,"R",383514,"R",56126,"R",0,"R",289545,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",75159,"R",61469,"R",13690,"R",0,"R",0,"R",0,"R",0,"R",279202,"R",113418,"R",25027,"R",0,"R",0,"R",0,"R",140757,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",-383514,"R",0,"R",0,"R",383514,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1570498,"R",573139,"R",127417,"R",56126,"R",0,"R",813816,"A",,"A",,-2
